NAME	DESCRIPTION	1_1ReadsPerGene.out.tab	1_2ReadsPerGene.out.tab	1_3ReadsPerGene.out.tab	5_1ReadsPerGene.out.tab	5_2ReadsPerGene.out.tab	5_3ReadsPerGene.out.tab
CNAG_12448	na	11.7373245448829	8.5829990970927	27.4431504490317	20.8054599195841	7.48098207467923	23.1413215115329
CNAG_01281	na	272.667077888819	256.536306346437	275.487010276818	203.100918262607	215.078234647028	260.339867004745
CNAG_01279	na	650.067205562747	590.319604566709	643.858529765744	531.034596042719	466.626256908117	499.85254464911
CNAG_07428	na	1481.61150601176	1556.38383627281	1541.03844829178	1980.48163710708	2003.9680732547	1882.5465049632
CNAG_01278	na	1942.07577661871	1894.9354673248	1701.47532783997	3185.21684006967	2977.43086572234	2700.59222039589
CNAG_01277	na	7302.42160915486	7549.2245391762	7497.25760151816	6678.55263418651	6355.09427244001	5729.79120625554
CNAG_01276	na	2439.55776309797	2434.71074387529	2399.16465271727	2689.84874674624	2659.48912754847	2330.33107621136
CNAG_01275	na	795.429455695528	838.272911816053	775.796753078396	848.070175769716	759.319680579942	1035.5741376411
CNAG_01274	na	9951.44547182305	9466.0943375269	9732.81885732775	8306.33218884731	7979.40250540474	7446.87726241128
CNAG_01273	na	9053.08870858009	9025.50038387614	9853.14651698889	7639.56673523397	7596.93729683676	9803.8208583609
CNAG_01272	na	458.658528369271	439.640287084415	463.367040274035	3702.38112949933	3676.90268970484	3774.34953853101
CNAG_01271	na	3069.7618040463	3162.35833399549	2995.52542209046	2749.29291794505	2459.3728570508	2817.45589402913
CNAG_01270	na	10361.3489597751	10509.4055611068	10576.1679807422	9681.47401591316	9175.42451459408	10111.6004344643
CNAG_07429	na	2074.79783108777	2147.65710740586	2092.01246884542	2557.09009773556	2551.95001022495	2657.78077559955
CNAG_01268	na	8.12584006953433	2.8609996990309	7.38854050550854	17.8332513596436	15.8970869086934	26.6125197382628
CNAG_01267	na	762.023224298553	697.130259997196	707.188876955817	977.856616220455	908.004199314192	1100.36983787339
CNAG_01266	na	5146.36537737175	4737.81550159517	4697.00074993043	5447.06755418446	5620.08778360277	4509.08649652218
CNAG_01265	na	605.826520739726	606.531936194551	592.138746227184	703.422692519274	679.834246036475	631.758077264848
CNAG_01264	na	8766.87856390871	8249.21579887242	9179.73382520111	8592.65494678825	8886.4715819596	9648.77400423364
CNAG_01263	na	4114.38368854088	3984.4189141837	3902.20489269501	3426.9564696115	3362.70144256832	3517.480869753
CNAG_01262	na	1362.43251832526	1352.29919107527	1394.32314396811	1537.62256167593	1704.72879026753	1432.44780156389
CNAG_01261	na	13978.2506618367	12633.2210043541	13295.1508867694	12841.9224513167	13494.756539962	11598.4303415803
